"COUNTRY","Country","PRODUCT","Product","PLANT","Plant","BALANCE","Balance","TIME","Time","Value","Flag Codes","Flags"
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MDA","Republic of Moldova","CFPRODUCT055","     Biogasoline","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MDA","Republic of Moldova","CFPRODUCT057","     Other liquid biofuels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1990","1990",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1991","1991",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1992","1992",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1993","1993",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1994","1994",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1995","1995",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1996","1996",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1997","1997",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1998","1998",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","1999","1999",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2000","2000",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2001","2001",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2002","2002",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2003","2003",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2004","2004",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2014","2014",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2015","2015",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2016","2016",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2017","2017",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2018","2018",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2019","2019",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2020","2020",0,,
"MDA","Republic of Moldova","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2021","2021",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2005","2005",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2006","2006",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2007","2007",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2008","2008",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2009","2009",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2010","2010",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2011","2011",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2012","2012",0,,
"MNE","Montenegro","CFPRODUCT056","     Biodiesels","CFPLANT007","Total plants","CFBALANCE003","Gross electricity production (GWh)","2013","2013",0,,
